x,t = 15s,t = 30s,t = 60s,t = 90s,t = 150s,t = 210s
0.001292,36.1074,42.0875,49.3075,53.1393,56.2602,57.1427
0.001296,36.1045,42.0845,49.3046,53.1364,56.2573,57.1397
0.0013,36.1016,42.0816,49.3017,53.1335,56.2544,57.1368
0.001304,36.0987,42.0787,49.2988,53.1306,56.2515,57.1339
0.001308,36.0958,42.0758,49.2959,53.1276,56.2486,57.131
0.001312,36.0929,42.0729,49.2929,53.1247,56.2456,57.1281
0.001316,36.09,42.0699,49.29,53.1218,56.2427,57.1252
0.00132,36.0871,42.067,49.2871,53.1189,56.2398,57.1222
0.001324,36.0842,42.0641,49.2842,53.116,56.2369,57.1193
0.001328,36.0813,42.0612,49.2813,53.1131,56.234,57.1164
0.001332,36.0784,42.0583,49.2783,53.1101,56.2311,57.1135
0.001336,36.0754,42.0554,49.2754,53.1072,56.2281,57.1106
0.00134,36.0725,42.0525,49.2725,53.1043,56.2252,57.1077
0.001344,36.0696,42.0495,49.2696,53.1014,56.2223,57.1047
0.001348,36.0667,42.0466,49.2667,53.0985,56.2194,57.1018
0.001352,36.0638,42.0437,49.2638,53.0956,56.2165,57.0989
0.001356,36.0609,42.0408,49.2609,53.0927,56.2136,57.096
0.00136,36.058,42.0379,49.2579,53.0897,56.2107,57.0931
0.001364,36.0551,42.035,49.255,53.0868,56.2077,57.0902
0.001368,36.0522,42.0321,49.2521,53.0839,56.2048,57.0873
0.001372,36.0493,42.0291,49.2492,53.081,56.2019,57.0843
0.001376,36.0464,42.0262,49.2463,53.0781,56.199,57.0814
0.00138,36.0435,42.0233,49.2434,53.0752,56.1961,57.0785
0.001384,36.0406,42.0204,49.2405,53.0723,56.1932,57.0756
0.001388,36.0377,42.0175,49.2376,53.0694,56.1903,57.0727
0.001392,36.0348,42.0146,49.2347,53.0665,56.1874,57.0698
0.001396,36.0319,42.0117,49.2317,53.0635,56.1845,57.0669
0.0014,36.029,42.0088,49.2288,53.0606,56.1815,57.064
0.001404,36.0261,42.0059,49.2259,53.0577,56.1786,57.0611
0.001408,36.0232,42.003,49.223,53.0548,56.1757,57.0582
0.001412,36.0203,42.0001,49.2201,53.0519,56.1728,57.0552
0.001416,36.0174,41.9971,49.2172,53.049,56.1699,57.0523
0.00142,36.0145,41.9942,49.2143,53.0461,56.167,57.0494
0.001424,36.0116,41.9913,49.2114,53.0432,56.1641,57.0465
0.001428,36.0087,41.9884,49.2085,53.0403,56.1612,57.0436
0.001432,36.0058,41.9855,49.2056,53.0374,56.1583,57.0407
0.001436,36.0029,41.9826,49.2027,53.0345,56.1554,57.0378
0.00144,36,41.9797,49.1998,53.0316,56.1525,57.0349
0.001444,35.9971,41.9768,49.1969,53.0287,56.1496,57.032
0.001448,35.9942,41.9739,49.194,53.0258,56.1467,57.0291
0.001452,35.9913,41.971,49.1911,53.0228,56.1438,57.0262
0.001456,35.9885,41.9681,49.1881,53.0199,56.1409,57.0233
0.00146,35.9856,41.9652,49.1852,53.017,56.138,57.0204
0.001464,35.9827,41.9623,49.1823,53.0141,56.135,57.0175
0.001468,35.9798,41.9594,49.1794,53.0112,56.1321,57.0146
0.001472,35.9769,41.9565,49.1765,53.0083,56.1292,57.0117
0.001476,35.974,41.9536,49.1736,53.0054,56.1263,57.0088
0.00148,35.9711,41.9507,49.1707,53.0025,56.1234,57.0059
0.001484,35.9682,41.9478,49.1678,52.9996,56.1205,57.003
0.001488,35.9653,41.9449,49.1649,52.9967,56.1176,57.0001
0.001492,35.9624,41.942,49.162,52.9938,56.1147,56.9972
0.001496,35.9595,41.9391,49.1591,52.9909,56.1118,56.9943
0.0015,35.9567,41.9362,49.1562,52.988,56.1089,56.9914
0.001504,35.9538,41.9333,49.1533,52.9851,56.106,56.9885
0.001508,35.9509,41.9304,49.1504,52.9822,56.1031,56.9856
0.001512,35.948,41.9275,49.1475,52.9793,56.1002,56.9827
0.001516,35.9451,41.9246,49.1446,52.9764,56.0973,56.9798
0.00152,35.9422,41.9217,49.1417,52.9735,56.0944,56.9769
0.001524,35.9393,41.9188,49.1388,52.9706,56.0916,56.974
0.001528,35.9364,41.9159,49.1359,52.9677,56.0887,56.9711
0.001532,35.9336,41.913,49.1331,52.9648,56.0858,56.9682
0.001536,35.9307,41.9101,49.1302,52.9619,56.0829,56.9653
0.00154,35.9278,41.9072,49.1273,52.9591,56.08,56.9624
0.001544,35.9249,41.9043,49.1244,52.9562,56.0771,56.9595
0.001548,35.922,41.9014,49.1215,52.9533,56.0742,56.9566
0.001552,35.9191,41.8985,49.1186,52.9504,56.0713,56.9537
0.001556,35.9162,41.8956,49.1157,52.9475,56.0684,56.9508
0.00156,35.9134,41.8927,49.1128,52.9446,56.0655,56.9479
0.001564,35.9105,41.8899,49.1099,52.9417,56.0626,56.945
0.001568,35.9076,41.887,49.107,52.9388,56.0597,56.9421
0.001572,35.9047,41.8841,49.1041,52.9359,56.0568,56.9392
0.001576,35.9018,41.8812,49.1012,52.933,56.0539,56.9364
0.00158,35.899,41.8783,49.0983,52.9301,56.051,56.9335
0.001584,35.8961,41.8754,49.0954,52.9272,56.0481,56.9306
0.001588,35.8932,41.8725,49.0925,52.9243,56.0453,56.9277
0.001592,35.8903,41.8696,49.0897,52.9214,56.0424,56.9248
0.001596,35.8874,41.8667,49.0868,52.9186,56.0395,56.9219
