x,numeric,exacte
0.002592,56.5623,56.5568
0.002596,56.5595,56.554
0.0026,56.5567,56.5512
0.002604,56.5539,56.5484
0.002608,56.5511,56.5456
0.002612,56.5483,56.5428
0.002616,56.5455,56.54
0.00262,56.5427,56.5372
0.002624,56.54,56.5344
0.002628,56.5372,56.5316
0.002632,56.5344,56.5288
0.002636,56.5316,56.5261
0.00264,56.5288,56.5233
0.002644,56.526,56.5205
0.002648,56.5232,56.5177
0.002652,56.5204,56.5149
0.002656,56.5176,56.5121
0.00266,56.5149,56.5093
0.002664,56.5121,56.5066
0.002668,56.5093,56.5038
0.002672,56.5065,56.501
0.002676,56.5037,56.4982
0.00268,56.5009,56.4954
0.002684,56.4981,56.4926
0.002688,56.4954,56.4898
0.002692,56.4926,56.4871
0.002696,56.4898,56.4843
0.0027,56.487,56.4815
0.002704,56.4842,56.4787
0.002708,56.4815,56.4759
0.002712,56.4787,56.4731
0.002716,56.4759,56.4704
0.00272,56.4731,56.4676
0.002724,56.4703,56.4648
0.002728,56.4675,56.462
0.002732,56.4648,56.4592
0.002736,56.462,56.4565
0.00274,56.4592,56.4537
0.002744,56.4564,56.4509
0.002748,56.4537,56.4481
0.002752,56.4509,56.4454
0.002756,56.4481,56.4426
0.00276,56.4453,56.4398
0.002764,56.4425,56.437
0.002768,56.4398,56.4342
0.002772,56.437,56.4315
0.002776,56.4342,56.4287
0.00278,56.4314,56.4259
0.002784,56.4287,56.4231
0.002788,56.4259,56.4204
0.002792,56.4231,56.4176
0.002796,56.4203,56.4148
0.0028,56.4176,56.4121
0.002804,56.4148,56.4093
0.002808,56.412,56.4065
0.002812,56.4093,56.4037
0.002816,56.4065,56.401
0.00282,56.4037,56.3982
0.002824,56.4009,56.3954
0.002828,56.3982,56.3927
0.002832,56.3954,56.3899
0.002836,56.3926,56.3871
0.00284,56.3899,56.3843
0.002844,56.3871,56.3816
0.002848,56.3843,56.3788
0.002852,56.3816,56.376
0.002856,56.3788,56.3733
0.00286,56.376,56.3705
0.002864,56.3733,56.3677
0.002868,56.3705,56.365
0.002872,56.3677,56.3622
0.002876,56.365,56.3594
0.00288,56.3622,56.3567
0.002884,56.3594,56.3539
0.002888,56.3567,56.3511
0.002892,56.3539,56.3484
0.002896,56.3511,56.3456
0.0029,56.3484,56.3429
0.002904,56.3456,56.3401
0.002908,56.3428,56.3373
0.002912,56.3401,56.3346
0.002916,56.3373,56.3318
0.00292,56.3346,56.329
0.002924,56.3318,56.3263
0.002928,56.329,56.3235
0.002932,56.3263,56.3208
0.002936,56.3235,56.318
0.00294,56.3208,56.3152
0.002944,56.318,56.3125
0.002948,56.3152,56.3097
0.002952,56.3125,56.307
0.002956,56.3097,56.3042
0.00296,56.307,56.3014
0.002964,56.3042,56.2987
0.002968,56.3014,56.2959
0.002972,56.2987,56.2932
0.002976,56.2959,56.2904
0.00298,56.2932,56.2877
0.002984,56.2904,56.2849
0.002988,56.2877,56.2822
0.002992,56.2849,56.2794
0.002996,56.2822,56.2766
0.003,56.2794,56.2739
0.003004,56.2766,56.2711
0.003008,56.2739,56.2684
0.003012,56.2711,56.2656
0.003016,56.2684,56.2629
0.00302,56.2656,56.2601
0.003024,56.2629,56.2574
0.003028,56.2601,56.2546
0.003032,56.2574,56.2519
0.003036,56.2546,56.2491
0.00304,56.2519,56.2464
0.003044,56.2491,56.2436
0.003048,56.2464,56.2409
0.003052,56.2436,56.2381
0.003056,56.2409,56.2354
0.00306,56.2381,56.2326
0.003064,56.2354,56.2299
0.003068,56.2326,56.2271
0.003072,56.2299,56.2244
0.003076,56.2271,56.2216
0.00308,56.2244,56.2189
0.003084,56.2217,56.2161
0.003088,56.2189,56.2134
0.003092,56.2162,56.2107
0.003096,56.2134,56.2079
0.0031,56.2107,56.2052
0.003104,56.2079,56.2024
0.003108,56.2052,56.1997
0.003112,56.2024,56.1969
0.003116,56.1997,56.1942
0.00312,56.197,56.1915
0.003124,56.1942,56.1887
0.003128,56.1915,56.186
0.003132,56.1887,56.1832
0.003136,56.186,56.1805
