t,x0,xM/2,xM
237,58.453,47.7069,44.421
237.5,58.4531,47.7069,44.4211
238,58.4531,47.7069,44.4211
238.5,58.4531,47.7069,44.4211
239,58.4532,47.707,44.4211
239.5,58.4532,47.707,44.4212
240,58.4532,47.707,44.4212
240.5,58.4532,47.707,44.4212
241,58.4533,47.7071,44.4212
241.5,58.4533,47.7071,44.4213
242,58.4533,47.7071,44.4213
242.5,58.4533,47.7071,44.4213
243,58.4533,47.7071,44.4213
243.5,58.4534,47.7072,44.4214
244,58.4534,47.7072,44.4214
244.5,58.4534,47.7072,44.4214
245,58.4534,47.7072,44.4214
245.5,58.4534,47.7073,44.4214
246,58.4535,47.7073,44.4215
246.5,58.4535,47.7073,44.4215
247,58.4535,47.7073,44.4215
247.5,58.4535,47.7073,44.4215
248,58.4535,47.7073,44.4215
248.5,58.4536,47.7074,44.4215
249,58.4536,47.7074,44.4216
249.5,58.4536,47.7074,44.4216
250,58.4536,47.7074,44.4216
250.5,58.4536,47.7074,44.4216
251,58.4536,47.7074,44.4216
251.5,58.4537,47.7075,44.4216
252,58.4537,47.7075,44.4217
252.5,58.4537,47.7075,44.4217
253,58.4537,47.7075,44.4217
253.5,58.4537,47.7075,44.4217
254,58.4537,47.7075,44.4217
254.5,58.4537,47.7075,44.4217
255,58.4538,47.7076,44.4217
255.5,58.4538,47.7076,44.4218
256,58.4538,47.7076,44.4218
256.5,58.4538,47.7076,44.4218
257,58.4538,47.7076,44.4218
257.5,58.4538,47.7076,44.4218
258,58.4538,47.7076,44.4218
258.5,58.4538,47.7076,44.4218
259,58.4539,47.7077,44.4218
259.5,58.4539,47.7077,44.4219
260,58.4539,47.7077,44.4219
260.5,58.4539,47.7077,44.4219
261,58.4539,47.7077,44.4219
261.5,58.4539,47.7077,44.4219
262,58.4539,47.7077,44.4219
262.5,58.4539,47.7077,44.4219
263,58.4539,47.7077,44.4219
263.5,58.4539,47.7078,44.4219
264,58.454,47.7078,44.4219
264.5,58.454,47.7078,44.4219
265,58.454,47.7078,44.422
265.5,58.454,47.7078,44.422
266,58.454,47.7078,44.422
266.5,58.454,47.7078,44.422
267,58.454,47.7078,44.422
267.5,58.454,47.7078,44.422
268,58.454,47.7078,44.422
268.5,58.454,47.7078,44.422
269,58.454,47.7078,44.422
269.5,58.454,47.7079,44.422
270,58.4541,47.7079,44.422
270.5,58.4541,47.7079,44.422
271,58.4541,47.7079,44.4221
271.5,58.4541,47.7079,44.4221
272,58.4541,47.7079,44.4221
272.5,58.4541,47.7079,44.4221
273,58.4541,47.7079,44.4221
273.5,58.4541,47.7079,44.4221
274,58.4541,47.7079,44.4221
274.5,58.4541,47.7079,44.4221
275,58.4541,47.7079,44.4221
275.5,58.4541,47.7079,44.4221
276,58.4541,47.7079,44.4221
276.5,58.4541,47.7079,44.4221
277,58.4541,47.7079,44.4221
277.5,58.4541,47.7079,44.4221
278,58.4541,47.708,44.4221
278.5,58.4542,47.708,44.4221
279,58.4542,47.708,44.4221
279.5,58.4542,47.708,44.4221
280,58.4542,47.708,44.4222
280.5,58.4542,47.708,44.4222
281,58.4542,47.708,44.4222
281.5,58.4542,47.708,44.4222
282,58.4542,47.708,44.4222
282.5,58.4542,47.708,44.4222
283,58.4542,47.708,44.4222
283.5,58.4542,47.708,44.4222
284,58.4542,47.708,44.4222
284.5,58.4542,47.708,44.4222
285,58.4542,47.708,44.4222
285.5,58.4542,47.708,44.4222
286,58.4542,47.708,44.4222
286.5,58.4542,47.708,44.4222
287,58.4542,47.708,44.4222
287.5,58.4542,47.708,44.4222
288,58.4542,47.708,44.4222
288.5,58.4542,47.708,44.4222
289,58.4542,47.708,44.4222
289.5,58.4542,47.708,44.4222
290,58.4542,47.708,44.4222
290.5,58.4542,47.7081,44.4222
291,58.4542,47.7081,44.4222
291.5,58.4542,47.7081,44.4222
292,58.4543,47.7081,44.4222
292.5,58.4543,47.7081,44.4222
293,58.4543,47.7081,44.4222
293.5,58.4543,47.7081,44.4222
294,58.4543,47.7081,44.4222
294.5,58.4543,47.7081,44.4223
295,58.4543,47.7081,44.4223
295.5,58.4543,47.7081,44.4223
296,58.4543,47.7081,44.4223
296.5,58.4543,47.7081,44.4223
297,58.4543,47.7081,44.4223
297.5,58.4543,47.7081,44.4223
298,58.4543,47.7081,44.4223
298.5,58.4543,47.7081,44.4223
299,58.4543,47.7081,44.4223
299.5,58.4543,47.7081,44.4223
